Customer_ID,Gender,Age,Income,Car_Type,Marital_Status,Has_Children,Education,Credit_Score,Purchased
CUST14792,Female,,46207.0,Sedan,Married,No,Bachelor,655.0,Yes
CUST13238,Female,,57772.0,Truck,Married,Yes,Bachelor,630.0,No
CUST12833,Female,,26054.0,Luxury,Single,No,Master,516.0,No
CUST13048,Male,,58508.0,Hatchback,Single,Yes,Master,667.0,No
CUST13309,Male,,35518.0,SUV,Divorced,No,Master,661.0,No
CUST13418,Male,,35798.0,Sedan,Married,Yes,High School,732.0,No
CUST10240,Male,,28249.0,Hatchback,Married,Yes,Master,756.0,Yes
CUST14822,Male,,38390.0,SUV,Married,Yes,High School,756.0,Yes
CUST12699,Female,,30668.0,SUV,Single,No,High School,693.0,No
CUST10239,Male,,28582.0,Sedan,Single,No,Master,612.0,Yes
CUST12331,Male,,35782.0,Hatchback,Married,Yes,High School,591.0,Yes
CUST10065,Female,,81428.0,SUV,Single,No,PhD,647.0,Yes
CUST10333,Female,52.0,56538.0,SUV,Married,Yes,High School,697.0,No
CUST12344,Male,55.0,56311.0,Truck,Divorced,No,Master,758.0,No
CUST11924,Male,30.0,23476.0,SUV,Married,No,Master,723.0,Yes
CUST10033,Female,38.0,43440.0,Luxury,Married,Yes,Bachelor,694.0,No
CUST13243,Female,33.0,39336.0,SUV,Single,No,Bachelor,678.0,Yes
CUST12002,Female,21.0,28806.0,Hatchback,Married,No,Master,696.0,No
CUST13095,Male,63.0,71945.0,Truck,Married,Yes,Bachelor,684.0,Yes
CUST13574,Male,28.0,22494.0,Hatchback,Married,Yes,High School,647.0,Yes
CUST10842,Female,41.0,26478.0,SUV,Married,No,Master,744.0,Yes
CUST13610,Male,58.0,27835.0,Sedan,Single,No,Bachelor,586.0,No
CUST11665,Male,26.0,35848.0,SUV,Married,No,Bachelor,718.0,Yes
CUST14184,Female,32.0,21745.0,SUV,Married,No,Bachelor,663.0,No
CUST14972,Male,43.0,72336.0,Luxury,Divorced,No,Bachelor,583.0,No
CUST14612,Female,34.0,126202.0,Luxury,Married,Yes,Bachelor,674.0,No
CUST10915,Male,45.0,33203.0,Truck,Married,Yes,High School,713.0,Yes
CUST14930,Male,57.0,20666.0,Luxury,Single,No,Bachelor,733.0,No
CUST13609,Male,62.0,36042.0,SUV,Married,Yes,Bachelor,741.0,Yes
CUST10831,Male,60.0,39902.0,Luxury,Divorced,Yes,PhD,609.0,Yes
CUST11044,Male,44.0,30470.0,Truck,Married,Yes,Master,759.0,Yes
CUST13920,Male,40.0,74244.0,Truck,Married,No,Bachelor,660.0,Yes
CUST14805,Male,35.0,31501.0,Sedan,Widowed,Yes,PhD,674.0,No
CUST14962,Male,47.0,35335.0,Sedan,Single,Yes,Master,640.0,No
CUST13406,Female,48.0,31194.0,Sedan,Married,No,PhD,675.0,Yes
CUST12834,Male,47.0,20000.0,Truck,Married,Yes,Bachelor,655.0,No
CUST10199,Female,26.0,32079.0,SUV,Married,Yes,High School,709.0,Yes
CUST12245,Female,33.0,37609.0,SUV,Married,Yes,Bachelor,693.0,Yes
CUST10426,Male,68.0,34614.0,SUV,Single,No,Bachelor,647.0,Yes
CUST12669,Male,55.0,33551.0,Luxury,Single,No,Master,765.0,No
CUST14897,Female,33.0,31385.0,SUV,Married,Yes,Bachelor,709.0,Yes
CUST13230,Male,43.0,37506.0,Sedan,Divorced,Yes,Master,717.0,Yes
CUST10724,Male,44.0,37855.0,Sedan,Married,Yes,Master,711.0,Yes
CUST14471,Male,46.0,23469.0,Truck,Married,No,Bachelor,680.0,No
CUST12378,Female,45.0,35515.0,SUV,Single,No,Bachelor,658.0,No
CUST12955,Female,55.0,25518.0,SUV,Single,No,Master,713.0,No
CUST14477,Female,24.0,41497.0,SUV,Married,Yes,High School,800.0,Yes
CUST12758,Female,58.0,35629.0,SUV,Single,No,Master,754.0,No
CUST12470,Female,41.0,41663.0,SUV,Single,No,Master,740.0,Yes
CUST11335,Male,28.0,20000.0,SUV,Widowed,No,Master,637.0,Yes
CUST11436,Male,37.0,43619.0,Luxury,Widowed,No,High School,635.0,Yes
CUST10800,Female,35.0,27133.0,Sedan,Married,Yes,Bachelor,606.0,Yes
CUST10296,Male,53.0,48209.0,Sedan,Married,No,High School,601.0,Yes
